epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.61,4.71334,7.70786,3.31255,0.00186,0.11464,0.00126,0.00033,3.03475,4.70448,2.36937,5.95985e-05,5.95985e-05,5.95985e-05
2,272.187,2.74458,5.1363,2.04754,0.00696,0.54257,0.00811,0.00381,1.89335,3.61398,1.64807,7.99076e-05,7.99076e-05,7.99076e-05
3,422.134,2.08245,4.29297,1.60801,0.00966,0.76426,0.01293,0.00782,1.48737,3.32234,1.34435,6.08368e-05,6.08368e-05,6.08368e-05
